,content,pubtime,username,numlikes,id,vote,rootcmt
0,一切顺其自然～不发表意见,1713601129,丹妮257,0,217721761360,-999,0
1,不会共青情那些重男轻女的女人！！！女性人活一辈子的价值难道就只有生个带把的？,1713597214,枫丹吉祥物-芙卡洛斯,0,217713964368,-999,0
2,繁衍后代乃天道也，以后快递员、外卖员、家政服务这些还是要得，如果都是高端人才了怎么运转起来，谁来做🐮🐴[doge],1713569579,吃面皮的波塞冬,0,217661865456,-999,0
3,对于选择生孩子的，我由衷的祝福他们，并诚挚的祝孩子平安喜乐，但本人坚持不婚不育。,1713564054,bili_22001902941,0,217658306864,2,0
4,个人选择，又有谁有对错呢？[辣眼睛],1713524237,Gygggv,0,217591842512,2,0
5,劝别人生和劝别人不生的都是鲨臂，自己活自己的别人管不着,1713518284,勤勤恳恳饮水机管理员,4,217577366960,-999,0
6,生了7年了，老的好快哦,1713502905,奶粉糊12,0,217548478240,-999,0
7,因为小时候想过，为什么要生我下来？所以长大后，到目前为止，我也不想要小孩，想想比起养孩子的快乐和比起他们要带给我的麻烦，我觉得后者会更加的多，不想因为自己错误的选择去迁怒根本就没有选择的孩子。,1713502593,朱诸子,0,217547675280,2,0
8,其实重男轻女的男性并没比女的少，只是有些别有用心的人为了推卸男性重男轻女的现象就甩锅给女的，都没科学统计，就光靠张嘴就来，听过一个人说的一段话觉得挺好“个人觉得奶奶和妈妈也挺惨的，被父权压迫还要沿袭这种惯例去压迫下一代，如你所说仿若“裹了小脑”，但这种压迫归根到底还是背后的爷爷和父亲受益，而既得利益者们对此缄默不言或者不做实质性改变，既得利益又得名声，两全其美，完美隐身。每每想到此就觉得父权社会歹毒，利用女性维护男性利益，最后还推女性出去挡枪”,1713502546,娑娜索娜,2,217547592624,-999,0
9,其实重男轻女的男性并没比女的少呀，有些男人甚至比女的心里还在意生男孩自认为生男的才能传他家宗接他家代，只是有些别有用心的人为了推卸男性重男轻女的现象就甩锅给女的，说女的比男的多，都没科学统计，就光靠张嘴就来，我姥爷和我同事的公公就这样，儿媳妇前面两个都生了儿子了，他们还希望第三胎能是孙子，而我姥姥和我同事婆婆还更喜欢最后一个能是孙女。听过一个人说的一段话觉得挺好“个人觉得奶奶和妈妈也挺惨的，被父权压迫还要沿袭这种惯例去压迫下一代，如你所说仿若“裹了小脑”，但这种压迫归根到底还是背后的爷爷和父亲受益，而既得利益者们对此缄默不言或者不做实质性改变，既得利益又得名声，两全其美，完美隐身。每每想到此就觉得父权社会歹毒，利用女性维护男性利益，最后还推女性出去挡枪”,1713502450,娑娜索娜,0,217547341968,-999,0
10,说得好,1713482232,朱柏瑞,0,217512218272,-999,0
11,"我身边很多一个月才几万的30多岁单身老爷们儿。
他们真心不想生孩子。
包括我自己。
不要觉得上万很多。
这个年代，杂七杂八的算算，就没了，基本上所剩无几。
这个价位的月工资都是什么阶层。
我们几个老哥们儿不生孩子的关键原因，就是这些孩子被生在这样浮躁的一个社会里，我们能不能把他们教育好。
我们能不能让他衣食无忧，还能同时满足他的幸福感。
如果不能，那我觉得，我毁了一个人的人生~
而且我也浪费了我自己的人生。
如果我轻轻松松年入百万以上，并且绝大部分时间不需要我参与工作上的事情。
那我可能有60%的把握，去养育一个人。
真的是这样~
我见过太多家境一般的孩子有多痛苦的了。
包括曾经年幼时的自己，也很痛苦。
总之，如果膝下有子女，不光要满足精神上的需求，金钱也是刚需。",1713449800,空调遥控器,1,217474468672,-999,0
12,我姐姐以前是非常想丁克的，她嫁给一个和她相恋七年的人。我眼睁睁看着她从不想结婚到怀孕，父母一直灌输的压力我真的看在眼里，我一直反复和她强调，她以后还是她吗？怀孕带来的后果真的能承受吗？她从拒绝一点点被刷低底线，就好像服从性测试。她怀孕了之后很难过，很焦虑，我莫名觉得她难过的生活开始了，这根本不是她想要的生活。最后我仍然尊重她的选择，并且给她底气她还能重新选择，因为没有人会一直走对自己想要的路，UP主说无法共情生育带来的苦难，可是也许一开始始她期望的是幸福，可是这些幸福是别人的，根本不是她的。她们在选择之前也是清醒的，可是被PUA多了人也麻木了。现在她已经打算好好开始了[口罩][口罩][口罩],1713442837,爱吃青椒的何田田,0,217456862512,-999,0
13,虽然舆论和大环境如此，我还是很喜欢孩子[脸红][脸红][脸红]和男友今年年底结婚，等我读完研了就生两个娃，我们都喜欢孩子,1713440891,三余ssy,1,217452244080,1,0
14,我不是不婚主义者，我是幸福主义者[大笑][大笑][大笑],1713440687,言yany言,0,217451589904,-999,0
15,我一方面期待家庭生活，觉得有孩子很幸福，一方面又觉得普通人活的太累，不想把孩子带过来受苦。,1713434182,夏小虎875,0,217435836032,2,0
